Week,diet: (United States)
2016-03-27,58
2016-04-03,63
2016-04-10,59
2016-04-17,59
2016-04-24,58
2016-05-01,56
2016-05-08,54
2016-05-15,55
2016-05-22,56
2016-05-29,52
2016-06-05,56
2016-06-12,52
2016-06-19,52
2016-06-26,53
2016-07-03,54
2016-07-10,52
2016-07-17,50
2016-07-24,52
2016-07-31,53
2016-08-07,53
2016-08-14,52
2016-08-21,50
2016-08-28,50
2016-09-04,51
2016-09-11,49
2016-09-18,48
2016-09-25,48
2016-10-02,46
2016-10-09,44
2016-10-16,47
2016-10-23,44
2016-10-30,44
2016-11-06,38
2016-11-13,48
2016-11-20,34
2016-11-27,44
2016-12-04,42
2016-12-11,39
2016-12-18,35
2016-12-25,49
2017-01-01,71
2017-01-08,66
2017-01-15,62
2017-01-22,63
2017-01-29,66
2017-02-05,75
2017-02-12,64
2017-02-19,68
2017-02-26,64
2017-03-05,65
2017-03-12,62
2017-03-19,63
2017-03-26,63
2017-04-02,61
2017-04-09,58
2017-04-16,63
2017-04-23,64
2017-04-30,63
2017-05-07,63
2017-05-14,59
2017-05-21,58
2017-05-28,60
2017-06-04,61
2017-06-11,57
2017-06-18,64
2017-06-25,61
2017-07-02,62
2017-07-09,64
2017-07-16,63
2017-07-23,65
2017-07-30,63
2017-08-06,61
2017-08-13,57
2017-08-20,52
2017-08-27,53
2017-09-03,51
2017-09-10,50
2017-09-17,54
2017-09-24,54
2017-10-01,51
2017-10-08,55
2017-10-15,54
2017-10-22,54
2017-10-29,49
2017-11-05,53
2017-11-12,52
2017-11-19,41
2017-11-26,52
2017-12-03,49
2017-12-10,45
2017-12-17,45
2017-12-24,55
2017-12-31,84
2018-01-07,81
2018-01-14,72
2018-01-21,73
2018-01-28,73
2018-02-04,71
2018-02-11,65
2018-02-18,68
2018-02-25,70
2018-03-04,69
2018-03-11,68
2018-03-18,74
2018-03-25,81
2018-04-01,81
2018-04-08,75
2018-04-15,73
2018-04-22,74
2018-04-29,77
2018-05-06,75
2018-05-13,70
2018-05-20,70
2018-05-27,70
2018-06-03,71
2018-06-10,70
2018-06-17,70
2018-06-24,67
2018-07-01,72
2018-07-08,76
2018-07-15,72
2018-07-22,75
2018-07-29,71
2018-08-05,70
2018-08-12,69
2018-08-19,65
2018-08-26,66
2018-09-02,63
2018-09-09,59
2018-09-16,61
2018-09-23,60
2018-09-30,58
2018-10-07,55
2018-10-14,60
2018-10-21,54
2018-10-28,54
2018-11-04,56
2018-11-11,51
2018-11-18,42
2018-11-25,53
2018-12-02,51
2018-12-09,51
2018-12-16,47
2018-12-23,59
2018-12-30,100
2019-01-06,95
2019-01-13,79
2019-01-20,75
2019-01-27,76
2019-02-03,72
2019-02-10,66
2019-02-17,69
2019-02-24,66
2019-03-03,69
2019-03-10,64
2019-03-17,66
2019-03-24,69
2019-03-31,76
2019-04-07,69
2019-04-14,67
2019-04-21,67
2019-04-28,63
2019-05-05,61
2019-05-12,61
2019-05-19,59
2019-05-26,60
2019-06-02,59
2019-06-09,58
2019-06-16,58
2019-06-23,58
2019-06-30,55
2019-07-07,59
2019-07-14,59
2019-07-21,61
2019-07-28,55
2019-08-04,56
2019-08-11,56
2019-08-18,56
2019-08-25,51
2019-09-01,52
2019-09-08,51
2019-09-15,52
2019-09-22,53
2019-09-29,53
2019-10-06,49
2019-10-13,48
2019-10-20,52
2019-10-27,50
2019-11-03,52
2019-11-10,48
2019-11-17,47
2019-11-24,40
2019-12-01,46
2019-12-08,42
2019-12-15,40
2019-12-22,45
2019-12-29,75
2020-01-05,74
2020-01-12,67
2020-01-19,63
2020-01-26,60
2020-02-02,57
2020-02-09,56
2020-02-16,62
2020-02-23,60
2020-03-01,56
2020-03-08,46
2020-03-15,30
2020-03-22,33
2020-03-29,33
2020-04-05,37
2020-04-12,38
2020-04-19,44
2020-04-26,46
2020-05-03,50
2020-05-10,48
2020-05-17,50
2020-05-24,50
2020-05-31,46
2020-06-07,49
2020-06-14,49
2020-06-21,49
2020-06-28,47
2020-07-05,50
2020-07-12,50
2020-07-19,50
2020-07-26,50
2020-08-02,47
2020-08-09,45
2020-08-16,45
2020-08-23,45
2020-08-30,44
2020-09-06,42
2020-09-13,44
2020-09-20,43
2020-09-27,45
2020-10-04,44
2020-10-11,45
2020-10-18,45
2020-10-25,46
2020-11-01,33
2020-11-08,39
2020-11-15,39
2020-11-22,33
2020-11-29,40
2020-12-06,39
2020-12-13,36
2020-12-20,31
2020-12-27,49
2021-01-03,54
2021-01-10,51
2021-01-17,50
2021-01-24,51
2021-01-31,49
2021-02-07,52
2021-02-14,47
2021-02-21,52
2021-02-28,49
2021-03-07,48
2021-03-14,44
2021-03-21,48
2021-03-28,47
2021-04-04,48
2021-04-11,46
2021-04-18,47
2021-04-25,46
2021-05-02,46
2021-05-09,44
2021-05-16,46
2021-05-23,47
2021-05-30,46
2021-06-06,47
2021-06-13,44
2021-06-20,44
2021-06-27,42
2021-07-04,43
2021-07-11,45
2021-07-18,43
2021-07-25,41
2021-08-01,40
2021-08-08,40
2021-08-15,41
2021-08-22,40
2021-08-29,38
2021-09-05,38
2021-09-12,40
2021-09-19,40
2021-09-26,40
2021-10-03,40
2021-10-10,40
2021-10-17,38
2021-10-24,38
2021-10-31,38
2021-11-07,40
2021-11-14,38
2021-11-21,28
2021-11-28,37
2021-12-05,34
2021-12-12,32
2021-12-19,29
2021-12-26,41
2022-01-02,53
2022-01-09,46
2022-01-16,42
2022-01-23,46
2022-01-30,46
2022-02-06,48
2022-02-13,45
2022-02-20,47
2022-02-27,48
2022-03-06,47
2022-03-13,46
2022-03-20,47
2022-03-27,46
2022-04-03,44
2022-04-10,45
2022-04-17,45
2022-04-24,46
2022-05-01,45
2022-05-08,44
2022-05-15,44
2022-05-22,39
2022-05-29,43
2022-06-05,45
2022-06-12,43
2022-06-19,45
2022-06-26,43
2022-07-03,45
2022-07-10,46
2022-07-17,45
2022-07-24,43
2022-07-31,40
2022-08-07,41
2022-08-14,44
2022-08-21,44
2022-08-28,38
2022-09-04,39
2022-09-11,39
2022-09-18,38
2022-09-25,38
2022-10-02,38
2022-10-09,39
2022-10-16,37
2022-10-23,37
2022-10-30,38
2022-11-06,36
2022-11-13,37
2022-11-20,30
2022-11-27,36
2022-12-04,37
2022-12-11,34
2022-12-18,31
2022-12-25,40
2023-01-01,50
2023-01-08,47
2023-01-15,44
2023-01-22,47
2023-01-29,45
2023-02-05,43
2023-02-12,43
2023-02-19,45
2023-02-26,46
2023-03-05,47
2023-03-12,48
2023-03-19,45
2023-03-26,48
2023-04-02,43
2023-04-09,43
